,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,39,39,40,41,41,42,42,43,45,46,44,44,45,45,45,46,46,46,46,46,47,46,47,47,46,46,46,46,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,43,43,42,42,42,41,41,40,40,39,39,39,38,38,37,37,37,36,36,35,35,35,35,35,34,34,35,35,35,35,34,34,35,35,35,35,36,35,36,36,36,37,37,36,37,37,37,37,37,37,38,38,39
1,39,39,40,40,40,42,42,43,45,46,45,46,46,47,47,47,46,46,46,46,47,47,47,47,47,47,48,48,48,50,50,51,52,52,52,53,53,53,54,53,52,51,49,48,46,43,43,42,40,40,40,39,39,40,39,38,38,38,37,36,35,35,35,34,34,33,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,34,34,34,35,34,34,34,34,34,35,36,38,38,38,38,37,38,38
2,37,37,37,37,37,38,38,39,40,41,42,43,44,43,44,46,47,49,49,49,50,51,51,52,53,56,60,63,67,69,71,67,63,69,72,73,74,75,75,75,73,74,72,68,70,72,60,49,44,40,37,35,34,32,29,27,27,29,30,30,31,31,32,33,32,34,34,33,30,31,30,29,30,31,31,31,32,29,30,30,30,30,31,31,32,32,32,32,32,31,30,30,31,32,33,34,34,33,35,36
3,32,35,35,34,36,36,34,33,34,36,38,39,41,44,47,48,50,53,55,57,60,61,59,68,70,67,69,75,79,68,55,51,72,77,76,76,76,76,76,76,76,77,77,78,72,51,37,43,38,32,21,12,11,27,32,35,30,13,9,13,12,12,16,19,15,23,23,18,14,17,17,19,22,26,29,38,58,40,32,28,27,29,28,27,27,27,27,28,29,28,27,27,27,27,28,28,29,29,31,32
4,26,27,25,23,25,24,24,25,26,27,30,33,37,41,41,41,49,55,62,66,64,60,54,53,55,56,64,66,34,12,37,64,65,71,78,76,76,76,76,76,76,76,76,77,58,34,36,29,18,7,0,0,0,12,39,19,14,1,0,0,0,0,0,0,0,0,11,14,15,4,5,15,22,23,24,28,41,42,61,49,40,31,23,24,24,25,27,28,32,29,24,23,22,23,24,24,24,23,23,24
5,20,18,16,15,16,17,18,19,19,22,25,28,30,30,29,44,54,49,50,43,44,29,52,46,50,49,51,46,21,7,5,8,4,10,60,79,76,76,76,76,76,76,76,73,43,36,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,30,13,6,10,12,15,26,38,60,71,76,75,78,75,67,45,31,31,38,34,26,30,41,41,27,25,19,22,24,25,22,21,20,19
6,20,5,2,1,4,16,30,28,23,20,18,18,18,18,17,41,46,59,66,66,66,34,42,54,31,52,71,69,68,49,27,8,3,0,21,62,76,75,75,75,75,75,70,52,16,10,0,1,0,0,0,0,0,0,0,2,11,19,6,0,0,0,0,0,25,42,2,0,14,63,43,52,60,73,77,76,75,75,75,73,73,75,75,72,75,69,41,49,55,67,63,54,38,41,30,23,24,23,17,18
7,4,0,0,0,1,11,15,13,11,7,4,2,2,3,6,2,1,8,13,16,16,17,8,15,9,12,15,16,16,18,13,5,3,0,0,7,13,13,13,13,13,14,15,11,2,0,0,0,0,0,0,0,0,0,0,2,10,14,5,0,0,0,0,0,0,3,5,0,6,15,15,16,14,13,13,13,13,13,13,13,13,13,13,14,13,14,15,15,15,14,15,15,15,15,8,5,8,8,3,3
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
