,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,24,24,24,24,24,24,25,25,26,26,26,26,27,27,28,28,27,27,27,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,27,27,27,27,27,26,26,25,25,25,25,25,25,25,25,24,25,24,24,24,24,23,23,24,23,23,23,23,23,23,22,22,22,22,21,21,22,22,21,21,21,22,22,22,22,22,22,23,23,23,23,24,24,23,23
1,27,27,27,28,29,29,30,30,30,30,31,31,31,31,32,32,32,33,34,34,35,35,36,37,37,38,38,38,38,39,39,40,40,40,41,41,41,41,41,42,43,41,40,37,36,35,33,32,31,30,29,28,28,27,26,25,25,25,25,25,25,24,24,24,24,23,23,23,23,22,22,22,22,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,23,24,24,25,25,26
2,27,26,26,29,31,32,33,34,33,35,35,36,36,35,36,36,37,38,39,40,41,42,43,44,45,47,50,50,51,54,54,51,48,50,55,56,57,57,57,58,60,60,60,55,52,51,43,37,31,27,26,26,23,19,16,15,14,14,13,12,12,13,15,16,16,19,20,19,19,19,19,19,20,20,21,21,23,21,21,21,22,22,23,23,22,21,21,20,20,19,19,19,21,21,21,22,22,24,25,26
3,24,25,26,27,30,32,38,38,35,34,36,37,38,39,39,41,43,47,50,54,56,57,56,56,54,50,52,56,59,50,40,38,53,57,57,57,57,57,57,57,57,57,58,58,52,36,25,30,22,14,10,7,6,19,23,25,21,7,0,0,0,0,5,10,8,16,18,14,14,17,17,16,17,18,18,25,42,32,25,20,19,20,20,20,20,19,18,18,20,21,21,22,21,21,21,22,22,23,24,24
4,18,19,20,19,21,25,32,37,30,31,33,36,37,37,38,41,46,50,54,56,55,49,45,42,42,42,48,49,26,11,29,48,49,54,58,57,57,57,57,57,57,57,57,58,40,23,22,14,7,1,0,0,0,9,29,14,11,1,0,0,0,0,0,0,0,1,11,14,15,8,12,17,18,16,18,20,27,27,44,37,30,23,17,18,17,17,20,21,24,23,19,18,16,17,18,19,20,21,21,19
5,12,12,11,9,9,12,16,24,24,26,28,30,31,31,30,40,43,40,40,35,35,26,41,36,40,38,38,35,16,11,10,11,8,11,45,59,57,57,57,57,57,57,57,54,29,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,24,10,5,8,10,12,17,28,45,53,56,56,58,56,51,35,23,21,25,21,17,21,30,32,22,20,15,17,17,17,19,19,17,14
6,15,4,3,1,2,11,21,20,19,19,20,19,17,17,16,31,34,45,50,51,50,29,36,43,27,42,54,52,51,38,26,14,14,4,15,47,57,56,56,56,56,56,52,39,7,0,0,1,0,0,0,0,0,0,0,1,9,14,5,0,0,0,0,0,19,31,2,0,10,47,31,39,45,55,58,57,56,56,56,55,55,56,56,53,56,52,31,36,40,51,48,42,29,31,22,17,18,18,16,15
7,4,5,4,0,1,8,11,10,8,5,3,3,3,4,5,2,1,7,11,13,13,16,10,13,7,11,12,15,16,15,10,7,13,8,0,6,10,10,10,10,10,11,10,8,1,0,0,0,0,0,0,0,0,0,0,2,8,11,4,0,0,0,0,0,0,1,3,0,5,12,11,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,6,4,6,6,3,3
8,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,6,3,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,1,1,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
